24 Horas,24 Horas FHD (ES)
324,3/24 SD (ES)
324 Catalunya,3/24 SD (ES)
AMC Break,AMC Break FHD (ES)
AMC Break,ES: AMC Break FHD
AMC Break,ES: AMC Break HD
AMC Break,ES: AMC Break SD
AMC Break,ES-6 AMC BREAK FHD
AMC Break,ES-6 AMC BREAK HD
AMC Break,ES-6 AMC BREAK 
AMC Crime,AMC Crime FHD (ES)
AMC Crime,ES: AMC Crime FHD
AMC Crime,ES: AMC Crime HD
AMC Crime,ES: AMC Crime SD
AMC Crime,ES-6 AMC CRIMEN FHD
AMC Crime,ES-6 AMC CRIMEN HD
AMC Crime,ES-6 AMC CRIMEN 
AMC HD,AMC FHD (ES)
AMC HD,ES: AMC FHD 
AMC HD,ES: AMC HD 
AMC HD,ES: AMC SD 
AMC HD,ES-6 AMC FHD
AMC HD,ES-6 AMC HD
AMC HD,ES-6 AMC 
Antena 3 HD,Antena 3 FHD (ES)
Antena 3 HD,Antena 3 SD 2MB (ES)
Antena 3 HD,ES: Antena 3 FHD 
Antena 3 HD,ES: Antena 3 HD 
Antena 3 HD,ES: Antena 3 SD 
Antena 3 HD,ES-6 ANTENA 3 (FHD) 
Antena 3 HD,ES-6 ANTENA 3 (HD) 
Antena 3 HD,ES-6 ANTENA 3 (SD)
Atreseries,A3Series FHD (ES)
Atreseries,ES: A3Series FHD 
Atreseries,ES: A3Series HD
Atreseries,ES: A3Series SD
Atreseries,ES-6 A3SERIES FHD FHD
Atreseries,ES-6 A3SERIES FHD HD
Atreseries,ES-6 A3SERIES FHD 
AXN HD,AXN FHD (ES)
AXN HD,AXN HD 2MB (ES)
AXN HD,ES: AXN FHD
AXN HD,ES: AXN HD
AXN HD,ES: AXN SD
AXN HD,ES-6 AXN FHD
AXN HD,ES-6 AXN HD
AXN HD,ES-6 AXN 
AXN Movies HD,AXN Movies FHD (ES)
AXN Movies HD,AXN Movies HD 2MB (ES)
AXN Movies HD,ES: AXN Movies FHD
AXN Movies HD,ES: AXN Movies HD
AXN Movies HD,ES: AXN Movies SD
AXN Movies HD,ES-6 AXN Movies FHD
AXN Movies HD,ES-6 AXN Movies HD
AXN Movies HD,ES-6 AXN Movies 
Baby TV,Baby TV SD (ES)
Be Mad,Be Mad FHD (ES)
Be Mad,Be Mad HD (ES)
AXN Movies HD,ES: AXN Movies FHD
AXN Movies HD,ES: AXN Movies HD
